Base,Balanceamento,Modelo,Acuracia,Precisao,Recall,F1
02-Breast Cancer Wisconsin (Diagnostic),ROSE,arvore,0.9411764705882353,0.9176470588235294,0.9629629629629629,0.9397590361445782
02-Breast Cancer Wisconsin (Diagnostic),ROSE,rf,0.9294117647058824,0.9156626506024096,0.9382716049382716,0.9268292682926829
02-Breast Cancer Wisconsin (Diagnostic),ROSE,svm,0.9176470588235294,0.958904109589041,0.8641975308641975,0.9090909090909091
02-Breast Cancer Wisconsin (Diagnostic),ROSE,ann,0.7529411764705882,0.8979591836734694,0.5432098765432098,0.676923076923077
03-Pima Indians Diabetes,ROSE,logistico,0.6739130434782609,0.6666666666666666,0.6607142857142857,0.6636771300448431
03-Pima Indians Diabetes,ROSE,arvore,0.691304347826087,0.6990291262135923,0.6428571428571429,0.6697674418604651
03-Pima Indians Diabetes,ROSE,rf,0.7304347826086957,0.7358490566037735,0.6964285714285714,0.7155963302752294
03-Pima Indians Diabetes,ROSE,svm,0.7217391304347827,0.7307692307692307,0.6785714285714286,0.7037037037037038
03-Pima Indians Diabetes,ROSE,ann,0.5869565217391305,0.5794392523364486,0.5535714285714286,0.5662100456621004
04-Ionosphere,ROSE,logistico,0.8173076923076923,0.8604651162790697,0.74,0.7956989247311828
04-Ionosphere,ROSE,arvore,1,1,1,1
04-Ionosphere,ROSE,rf,0.9903846153846154,1,0.98,0.98989898989899
04-Ionosphere,ROSE,svm,0.9326923076923077,1,0.86,0.924731182795699
04-Ionosphere,ROSE,ann,0.7980769230769231,0.8717948717948718,0.68,0.7640449438202247
05-phoneme,ROSE,logistico,0.7438271604938271,0.7170022371364653,0.7982565379825654,0.7554507955215085
05-phoneme,ROSE,arvore,0.7987654320987654,0.7725714285714286,0.8418430884184309,0.8057210965435042
05-phoneme,ROSE,rf,0.8117283950617284,0.7730263157894737,0.8779576587795765,0.8221574344023322
05-phoneme,ROSE,svm,0.8203703703703704,0.7752688172043011,0.8978829389788294,0.8320830929024812
05-phoneme,ROSE,ann,0.804320987654321,0.7755102040816326,0.8518057285180572,0.8118694362017805
06-The Mammography (Kevin Woods),ROSE,logistico,0.9803220035778175,0.6111111111111112,0.4230769230769231,0.5
06-The Mammography (Kevin Woods),ROSE,arvore,0.9827072152653548,0.6666666666666666,0.5128205128205128,0.5797101449275363
06-The Mammography (Kevin Woods),ROSE,rf,0.9865831842576028,0.851063829787234,0.5128205128205128,0.64
06-The Mammography (Kevin Woods),ROSE,svm,0.9841979725700656,0.7659574468085106,0.46153846153846156,0.5760000000000001
06-The Mammography (Kevin Woods),ROSE,ann,0.9859868813357185,0.7818181818181819,0.5512820512820513,0.6466165413533834
07-Oil Spill Imbalanced Classification,ROSE,logistico,0.9321428571428572,0.3157894736842105,0.5,0.3870967741935484
07-Oil Spill Imbalanced Classification,ROSE,arvore,0.9571428571428572,0,0,0
07-Oil Spill Imbalanced Classification,ROSE,rf,0.9678571428571429,0.7142857142857143,0.4166666666666667,0.5263157894736842
07-Oil Spill Imbalanced Classification,ROSE,svm,0.975,0.8571428571428571,0.5,0.631578947368421
07-Oil Spill Imbalanced Classification,ROSE,ann,0.9571428571428572,0,0,0
02-Breast Cancer Wisconsin (Diagnostic),SMOTE,logistico,0.9058823529411765,0.8615384615384616,0.8888888888888888,0.8750000000000001
02-Breast Cancer Wisconsin (Diagnostic),SMOTE,arvore,0.9117647058823529,0.8636363636363636,0.9047619047619048,0.8837209302325582
02-Breast Cancer Wisconsin (Diagnostic),SMOTE,rf,0.9705882352941176,0.967741935483871,0.9523809523809523,0.96
02-Breast Cancer Wisconsin (Diagnostic),SMOTE,svm,0.9764705882352941,0.9682539682539683,0.9682539682539683,0.9682539682539683
02-Breast Cancer Wisconsin (Diagnostic),SMOTE,ann,0.6294117647058823,0,0,0
03-Pima Indians Diabetes,SMOTE,logistico,0.7521739130434782,0.6885245901639344,0.525,0.5957446808510638
03-Pima Indians Diabetes,SMOTE,arvore,0.7391304347826086,0.6724137931034483,0.4875,0.5652173913043478
03-Pima Indians Diabetes,SMOTE,rf,0.7739130434782608,0.7258064516129032,0.5625,0.6338028169014084
03-Pima Indians Diabetes,SMOTE,svm,0.7565217391304347,0.6875,0.55,0.6111111111111112
03-Pima Indians Diabetes,SMOTE,ann,0.7434782608695653,0.6779661016949152,0.5,0.5755395683453237
04-Ionosphere,SMOTE,logistico,0.8846153846153846,0.9230769230769231,0.8955223880597015,0.9090909090909091
04-Ionosphere,SMOTE,arvore,0.9326923076923077,0.9285714285714286,0.9701492537313433,0.948905109489051
04-Ionosphere,SMOTE,rf,0.9423076923076923,0.9552238805970149,0.9552238805970149,0.9552238805970149
04-Ionosphere,SMOTE,svm,0.9615384615384616,0.9846153846153847,0.9552238805970149,0.9696969696969696
04-Ionosphere,SMOTE,ann,0.9038461538461539,0.9384615384615385,0.9104477611940298,0.9242424242424243
05-phoneme,SMOTE,logistico,0.7428435114503816,0.709775967413442,0.732912723449001,0.7211588204862907
05-phoneme,SMOTE,arvore,0.9141221374045801,0.8905775075987842,0.9242902208201893,0.9071207430340557
05-phoneme,SMOTE,rf,0.9279580152671756,0.9032258064516129,0.9421661409043113,0.9222851260936696
05-phoneme,SMOTE,svm,0.8802480916030534,0.8333333333333334,0.9200841219768665,0.8745627186406797
05-phoneme,SMOTE,ann,0.8229961832061069,0.7756653992395437,0.8580441640378549,0.8147778332501249
06-The Mammography (Kevin Woods),SMOTE,logistico,0.8823260073260073,0.8886130933912504,0.8742368742368742,0.8813663640560085
06-The Mammography (Kevin Woods),SMOTE,arvore,0.9732905982905983,0.9822706065318818,0.963980463980464,0.9730395932830073
06-The Mammography (Kevin Woods),SMOTE,rf,0.972985347985348,0.9807632640397146,0.9648962148962149,0.972765040775504
06-The Mammography (Kevin Woods),SMOTE,svm,0.9603174603174603,0.9697819314641745,0.9502442002442002,0.959913660191181
06-The Mammography (Kevin Woods),SMOTE,ann,0.9287240537240538,0.9395931142410016,0.9163614163614163,0.9278318652449389
07-Oil Spill Imbalanced Classification,SMOTE,logistico,0.9657794676806084,0.9511278195488722,0.9806201550387597,0.9656488549618321
07-Oil Spill Imbalanced Classification,SMOTE,arvore,0.9714828897338403,0.9764705882352941,0.9651162790697675,0.9707602339181286
07-Oil Spill Imbalanced Classification,SMOTE,rf,0.9942965779467681,0.9885057471264368,1,0.9942196531791908
07-Oil Spill Imbalanced Classification,SMOTE,svm,0.9923954372623575,0.9847328244274809,1,0.9923076923076923
07-Oil Spill Imbalanced Classification,SMOTE,ann,0.844106463878327,0.775,0.9612403100775194,0.8581314878892734
02-Breast Cancer Wisconsin (Diagnostic),UNDERSAMPLING,logistico,0.8968253968253969,0.9032258064516129,0.8888888888888888,0.8959999999999999
02-Breast Cancer Wisconsin (Diagnostic),UNDERSAMPLING,arvore,0.9444444444444444,0.9827586206896551,0.9047619047619048,0.9421487603305785
02-Breast Cancer Wisconsin (Diagnostic),UNDERSAMPLING,rf,0.9523809523809523,0.9830508474576272,0.9206349206349206,0.9508196721311476
02-Breast Cancer Wisconsin (Diagnostic),UNDERSAMPLING,svm,0.9682539682539683,0.9836065573770492,0.9523809523809523,0.9677419354838709
02-Breast Cancer Wisconsin (Diagnostic),UNDERSAMPLING,ann,0.7380952380952381,0.6704545454545454,0.9365079365079365,0.7814569536423841
03-Pima Indians Diabetes,UNDERSAMPLING,logistico,0.7625,0.7837837837837838,0.725,0.7532467532467533
03-Pima Indians Diabetes,UNDERSAMPLING,arvore,0.68125,0.6835443037974683,0.675,0.679245283018868
03-Pima Indians Diabetes,UNDERSAMPLING,rf,0.69375,0.6867469879518072,0.7125,0.6993865030674846
03-Pima Indians Diabetes,UNDERSAMPLING,svm,0.7375,0.7261904761904762,0.7625,0.7439024390243903
03-Pima Indians Diabetes,UNDERSAMPLING,ann,0.6125,0.6285714285714286,0.55,0.5866666666666667
04-Ionosphere,UNDERSAMPLING,logistico,0.8648648648648649,0.813953488372093,0.9459459459459459,0.875
04-Ionosphere,UNDERSAMPLING,arvore,0.8918918918918919,0.8222222222222222,1,0.9024390243902439
04-Ionosphere,UNDERSAMPLING,rf,0.918918918918919,0.8604651162790697,1,0.9249999999999999
04-Ionosphere,UNDERSAMPLING,svm,0.918918918918919,0.8604651162790697,1,0.9249999999999999
04-Ionosphere,UNDERSAMPLING,ann,0.9054054054054054,0.8409090909090909,1,0.9135802469135803
05-phoneme,UNDERSAMPLING,logistico,0.7536842105263157,0.7505197505197505,0.76,0.7552301255230126
05-phoneme,UNDERSAMPLING,arvore,0.8442105263157895,0.8343558282208589,0.8589473684210527,0.8464730290456433
05-phoneme,UNDERSAMPLING,rf,0.871578947368421,0.8594704684317719,0.888421052631579,0.8737060041407868
05-phoneme,UNDERSAMPLING,svm,0.8494736842105263,0.8415637860082305,0.8610526315789474,0.8511966701352758
05-phoneme,UNDERSAMPLING,ann,0.8063157894736842,0.7963340122199593,0.8231578947368421,0.8095238095238095
06-The Mammography (Kevin Woods),UNDERSAMPLING,logistico,0.8846153846153846,0.9285714285714286,0.8333333333333334,0.8783783783783784
06-The Mammography (Kevin Woods),UNDERSAMPLING,arvore,0.9166666666666666,0.9710144927536232,0.8589743589743589,0.9115646258503401
06-The Mammography (Kevin Woods),UNDERSAMPLING,rf,0.8910256410256411,0.9552238805970149,0.8205128205128205,0.8827586206896552
06-The Mammography (Kevin Woods),UNDERSAMPLING,svm,0.8910256410256411,0.9295774647887324,0.8461538461538461,0.8859060402684563
06-The Mammography (Kevin Woods),UNDERSAMPLING,ann,0.8974358974358975,0.9558823529411765,0.8333333333333334,0.8904109589041096
07-Oil Spill Imbalanced Classification,UNDERSAMPLING,logistico,0.5833333333333334,0.6,0.5,0.5454545454545454
07-Oil Spill Imbalanced Classification,UNDERSAMPLING,arvore,0.625,0.6666666666666666,0.5,0.5714285714285715
07-Oil Spill Imbalanced Classification,UNDERSAMPLING,rf,0.7083333333333334,0.7272727272727273,0.6666666666666666,0.6956521739130435
07-Oil Spill Imbalanced Classification,UNDERSAMPLING,svm,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
07-Oil Spill Imbalanced Classification,UNDERSAMPLING,ann,0.6666666666666666,0.625,0.8333333333333334,0.7142857142857143
